id,playername,seasonplayed,age,occupation,hometown,startingtribe,startingtribecolor,timesswapped,mergetribe,mergetribecolor,finalplacement,votescast,correctlyvoted,votesrecieved,votesnegated,tribeimmunities,individualimmunites,tribalsattended,playersonseason,advantagesplayed
1,Sonja Christopher,Borneo,63,Musician,"Walnut Creek, CA",Tagi,Orange,0,No Merge,N/A,16,1,0,4,0,0,0,1,16,0
2,B.B. Anderson,Borneo,64,Real Estate Developer,"Mission Hills, KS",Pagong,Yellow,0,No Merge,N/A,15,1,0,6,0,1,0,1,16,0
3,Stacey Stillman,Borneo,27,Attorney,"San Francisco, CA",Tagi,Orange,0,No Merge,N/A,14,2,0,6,0,1,0,2,16,0
4,Ramona Gray,Borneo,29,Biochemist,"Edison, NJ",Pagong,Yellow,0,No Merge,N/A,13,2,1,6,0,2,0,2,16,0
5,Dirk Been,Borneo,23,Dairy Farmer,"Spring Green, WI",Tagi,Orange,0,No Merge,N/A,12,3,2,4,0,2,0,3,16,0
6,Joel Klug,Borneo,27,Health Club Consultant,"Sherwood, AR",Pagong,Yellow,0,No Merge,N/A,11,3,2,4,0,3,0,3,16,0
7,Gretchen Cordy,Borneo,38,Teacher,"Clarksville, TN",Pagong,Yellow,0,Rattana,Green,10,4,3,4,0,3,0,4,16,0
8,Greg Buis,Borneo,24,Ivy League Graduate,"Gold Hill, CO",Pagong,Yellow,0,Rattana,Green,9,5,1,6,0,3,1,5,16,0
9,Jenna Lewis,Borneo,22,Student,"Franklin, NH",Pagong,Yellow,0,Rattana,Green,8,6,4,11,0,3,0,6,16,0
10,Gervase Peterson,Borneo,30,YMCA Basketball Coach,"Willingboro, NJ",Pagong,Yellow,0,Rattana,Green,7,7,1,6,0,3,1,7,16,0
11,Colleen Haskell,Borneo,23,Student,"Miami Beach, FL",Pagong,Yellow,0,Rattana,Green,6,8,3,7,0,3,0,8,16,0
12,Sean Kenniff,Borneo,30,Neurosurgeon,"Carle Place, NY",Tagi,Orange,0,Rattana,Green,5,9,6,9,0,3,0,9,16,0
13,Susan Hawk,Borneo,38,Truck Driver,"Palmyra, WI",Tagi,Orange,0,Rattana,Green,4,10,9,7,0,3,0,10,16,0
14,Rudy Boesch,Borneo,72,Retired Navy SEAL,"Virginia Beach, VA",Tagi,Orange,0,Rattana,Green,3,11,11,8,0,3,1,11,16,0
15,Kelly Wiglesworth,Borneo,22,River Rafting Guide,"Kernville, CA",Tagi,Orange,0,Rattana,Green,2,12,7,0,0,3,4,11,16,0
16,Richard Hatch,Borneo,38,Corporate Trainer,"Newport, RI",Tagi,Orange,0,Rattana,Green,1,10,9,6,0,3,1,11,16,0
17,Debb Eaton,Australian Outback,45,Corrections Officer,"Milan, NH",Kucha,Blue,0,No Merge,N/A,16,1,0,7,0,0,0,1,16,0
18,Kel Gleason,Australian Outback,32,Army Intelligence Officer,"Fort Hood, TX",Ogakor,Green,0,No Merge,N/A,15,1,0,7,0,1,0,1,16,0
19,Maralyn Hershey,Australian Outback,51,Retired Police Officer,"Wakefield, VA",Ogakor,Green,0,No Merge,N/A,14,2,1,5,0,1,0,2,16,0
20,Mitchell Olsen,Australian Outback,23,Singer/Songwriter,"Union City, NJ",Ogakor,Green,0,No Merge,N/A,13,3,2,6,0,1,0,3,16,0
21,Kimmi Kappenberg,Australian Outback,27,Bartender,"Ronkonkoma, NY",Kucha,Blue,0,No Merge,N/A,12,2,1,6,0,3,0,2,16,0
22,Micheal Skupin,Australian Outback,38,Software Company President,"White Lake, MI",Kucha,Blue,0,No Merge,N/A,11,2,2,0,0,3,0,2,16,0
23,Jeff Varner,Australian Outback,34,Internet Projects Manager,"Manhattan, NY",Kucha,Blue,0,Barramundi,Orange,10,3,2,11,0,3,0,3,16,0
24,Alicia Calaway,Australian Outback,32,Personal Trainer,"Manhattan, NY",Kucha,Blue,0,Barramundi,Orange,9,5,2,5,0,3,0,4,16,0
25,Jerri Manthey,Australian Outback,30,Aspiring Actress,"Los Angeles, CA",Ogakor,Green,0,Barramundi,Orange,8,8,5,12,0,3,0,6,16,0
26,Nick Brown,Australian Outback,23,Harvard Law Student,"Steilacoom, WA",Kucha,Blue,0,Barramundi,Orange,7,7,3,4,0,3,1,6,16,0
27,Amber Brkich,Australian Outback,22,Administrative Assistant,"Beaver, PA",Ogakor,Green,0,Barramundi,Orange,6,10,6,6,0,3,0,8,16,0
28,Rodger Bingham,Australian Outback,53,Teacher/Farmer,"Crittenden, KY",Kucha,Blue,0,Barramundi,Orange,5,9,4,5,0,3,0,8,16,0
29,Elisabeth Filarski,Australian Outback,23,Footwear Designer,"Newton, MA",Kucha,Blue,0,Barramundi,Orange,4,10,4,5,0,3,0,9,16,0
30,Keith Famie,Australian Outback,40,Chef,"West Bloomfield, MI",Ogakor,Green,0,Barramundi,Orange,3,11,11,10,0,3,2,11,16,0
31,Colby Donaldson,Australian Outback,26,Auto Customizer,"Dallas, TX",Ogakor,Green,0,Barramundi,Orange,2,12,12,9,0,3,5,11,16,0
32,Tina Wesson,Australian Outback,39,Personal Nurse,"Knoxville, TN",Ogakor,Green,0,Barramundi,Orange,1,12,12,0,0,3,0,11,16,0
33,Diane Ogden,Africa,42,Mail Carrier,"Lincoln, NE",Boran,Yellow,0,No Merge,N/A,16,1,0,6,0,0,0,1,16,0
34,Jessie Camacho,Africa,26,Sheriff,"Orlando, FL",Boran,Yellow,0,No Merge,N/A,15,2,1,5,0,0,0,2,16,0
35,Carl Bilancione,Africa,46,Dentist,"Winter Springs, FL",Samburu,Red,0,No Merge,N/A,14,1,0,7,0,2,0,1,16,0
36,Linda Spencer,Africa,44,Career Counselor,"Boston, MA",Samburu,Red,0,No Merge,N/A,13,3,0,4,0,2,0,2,16,0
37,Silas Gaither,Africa,23,Bartender,"Los Angeles, CA",Samburu,Red,1,No Merge,N/A,12,4,3,8,0,2,0,3,16,0
38,Lindsey Richter,Africa,26,Advertising Executive,"Portland, OR",Samburu,Red,1,No Merge,N/A,11,3,2,12,0,3,0,3,16,0
39,Clarence Black,Africa,24,Basketball Coach,"Detriot, MI",Boran,Yellow,1,Moto Maji,Teal,10,4,3,12,0,3,0,4,16,0
40,Kelly Goldsmith,Africa,22,Behavior Analyst,"San Diego, CA",Boran,Yellow,1,Moto Maji,Teal,9,6,5,5,0,3,0,5,16,0
41,Brandon Quinton,Africa,25,Bartender,"Dallas, TX",Samburu,Red,1,Moto Maji,Teal,8,8,5,6,0,3,0,6,16,0
42,Frank Garrison,Africa,42,Telephone Technician,"Odessa, NY",Samburu,Red,1,Moto Maji,Teal,7,8,4,9,0,3,0,7,16,0
43,Kim Powers,Africa,29,Freelance Marketer,"Conshohocken, PA",Samburu,Red,1,Moto Maji,Teal,6,10,6,4,0,3,0,8,16,0
44,Teresa Cooper,Africa,42,Flight Attendant,"Jackson, GA",Samburu,Red,1,Moto Maji,Teal,5,10,3,4,0,3,1,9,16,0
45,Tom Buchanan,Africa,45,Goat Farmer,"Rich Valley, VA",Boran,Yellow,1,Moto Maji,Teal,4,10,7,9,0,3,1,10,16,0
46,Lex van den Berghe,Africa,38,Marketing Manager,"Santa Cruz, CA",Boran,Yellow,1,Moto Maji,Teal,3,11,10,10,0,3,3,11,16,0
47,Kim Johnson,Africa,56,Retired Teacher,"Oyster Bay, NY",Boran,Yellow,1,Moto Maji,Teal,2,11,11,1,0,3,2,11,16,0
48,Ethan Zohn,Africa,27,Professional Soccer Player,"New York City, NY",Boran,Yellow,1,Moto Maji,Teal,1,10,10,0,0,3,1,11,16,0
49,Peter Harkey,Marquesas,45,Bowling Alley Owner,"Millis, MA",Maraamu,Green,0,No Merge,N/A,16,1,0,5,0,0,0,1,16,0
50,Patricia Jackson,Marquesas,49,Truck Assembler,"Lugoff, SC",Maraamu,Green,0,No Merge,N/A,15,2,1,5,0,0,0,2,16,0
51,Hunter Ellis,Marquesas,33,Ex-Navy Fighter Pilot,"La Jolla, CA",Maraamu,Green,0,No Merge,N/A,14,3,1,4,0,0,0,3,16,0
52,Sarah Jones,Marquesas,24,Account Manager,"Newport Beach, CA",Maraamu,Green,1,No Merge,N/A,13,4,3,11,0,0,0,4,16,0
53,Gabriel Cade,Marquesas,23,Bartender,"Hollywood, CA",Rotu,Blue,1,No Merge,N/A,12,1,0,7,0,4,0,1,16,0
54,Gina Crews,Marquesas,28,Nature Guide,"Gainesville, FL",Maraamu,Green,1,No Merge,N/A,11,5,2,3,0,1,0,5,16,0
55,Rob Mariano,Marquesas,25,Construction Worker,"Canton, MA",Maraamu,Green,1,Soliantu,Magenta,10,5,4,8,0,2,0,5,16,0
56,John Carroll,Marquesas,36,Nurse,"Omaha, NE",Rotu,Blue,1,Soliantu,Magenta,9,3,2,6,0,5,0,3,16,0
57,Zoe Zanidakis,Marquesas,35,Fishing Boat Captain,"Monhegan Island, ME",Rotu,Blue,1,Soliantu,Magenta,8,4,3,7,0,5,0,4,16,0
58,Tammy Leitner,Marquesas,29,Crime Reporter,"Mesa, AZ",Rotu,Blue,1,Soliantu,Magenta,7,5,3,5,0,5,2,5,16,0
59,Robert DeCanio,Marquesas,38,Limousine Driver,"College Point, NY",Rotu,Blue,1,Soliantu,Magenta,6,6,3,6,0,5,1,6,16,0
60,Sean Rector,Marquesas,30,Teacher,"Los Angeles, CA",Maraamu,Green,1,Soliantu,Magenta,5,10,7,7,0,2,0,10,16,0
61,Paschal English,Marquesas,56,Judge,"Thomaston, GA",Rotu,Blue,1,Soliantu,Magenta,4,9,8,0,0,4,0,9,16,0
62,Kathy Vavrick-O'Brien,Marquesas,46,Real Estate Agent,"Burlington, VA",Rotu,Blue,1,Soliantu,Magenta,3,9,7,5,0,4,2,10,16,0
63,Neleh Dennis,Marquesas,21,Student,"Layton, UT",Rotu,Blue,1,Soliantu,Magenta,2,10,9,4,0,4,1,10,16,0
64,Vecepia Towery,Marquesas,35,Office Manager,"Hayward, CA",Maraamu,Green,1,Soliantu,Magenta,1,11,9,2,0,2,2,12,16,0
65,John Raymond,Thailand,40,Pastor,"Slidell, LA",Chuay Gahn,Orange,0,No Merge,N/A,16,1,0,6,0,0,0,1,16,0
66,Tanya Vance,Thailand,27,Social Worker,"Gray, TN",Chuay Gahn,Orange,0,No Merge,N/A,15,2,1,5,0,0,0,2,16,0
67,Jed Hildebrand,Thailand,25,Dental Student,"Dallas, TX",Sook Jai,Purple,0,No Merge,N/A,14,1,0,5,0,2,0,1,16,0
68,Ghandia Johnson,Thailand,33,Legal Secretary,"Denver, CO",Chuay Gahn,Orange,0,No Merge,N/A,13,3,1,5,0,1,0,3,16,0
69,Stephanie Dill,Thailand,29,Firefighter,"Ozark, AR",Sook Jai,Purple,0,No Merge,N/A,12,2,0,5,0,3,0,2,16,0
70,Robb Zbacnik,Thailand,23,Bartender,"Scottsdale, AR",Sook Jai,Purple,0,No Merge,N/A,11,3,0,5,0,3,0,3,16,0
71,Shii Ann Huang,Thailand,28,Executive Recruiter,"New York City, NY",Sook Jai,Purple,0,No Merge,N/A,10,4,3,10,0,3,0,4,16,0
72,Erin Collins,Thailand,26,Real Estate Agent,"Austin, TX",Sook Jai,Purple,0,No Merge,N/A,9,5,4,3,0,3,0,5,16,0
73,Ken Stafford,Thailand,29,Police Officer,"Brooklyn, NY",Sook Jai,Purple,0,Chuay Jai,Yellow,8,6,5,6,0,3,0,6,16,0
74,Penny Ramsey,Thailand,27,Pharmaceutical Saleswoman,"Plano, TX",Sook Jai,Purple,0,Chuay Jai,Yellow,7,7,5,5,0,3,0,7,16,0
75,Jake Billingsley,Thailand,60,Land Broker,"McKinney, TX",Sook Jai,Purple,0,Chuay Jai,Yellow,6,8,5,7,0,3,0,8,16,0
76,Ted Rogers Jr.,Thailand,37,Software Developer,"Durham, NC",Chuay Gahn,Orange,0,Chuay Jai,Yellow,5,7,6,7,0,5,1,7,16,0
77,Helen Glover,Thailand,47,Navy Swim Instructor,"Middletown, RI",Chuay Gahn,Orange,0,Chuay Jai,Yellow,4,8,6,5,0,5,1,8,16,0
78,Jan Gentry,Thailand,53,Teacher,"Tampa, FL",Chuay Gahn,Orange,0,Chuay Jai,Yellow,3,8,7,5,0,5,0,9,16,0
79,Clay Jordan,Thailand,46,Restaurant Owner,"Monroe, LA",Chuay Gahn,Orange,0,Chuay Jai,Yellow,2,8,7,3,0,5,1,9,16,0
80,Brian Heidik,Thailand,34,Used Car Salesman,"Quartz Hill, CA",Chuay Gahn,Orange,0,Chuay Jai,Yellow,1,9,9,0,0,5,3,9,16,0
81,Ryan Aiken,The Amazon,23,Model,"Ellicott City, MD",Tambaqui,Blue,0,No Merge,N/A,16,1,0,4,0,0,0,1,16,0
82,Janet Koth,The Amazon,46,Homemaker,"Manchester, MO",Jaburu,Yellow,0,No Merge,N/A,15,1,0,5,0,1,0,1,16,0
83,Daniel Lue,The Amazon,26,Tax Accountant,"Houston, TX",Tambaqui,Blue,0,No Merge,N/A,14,2,0,7,0,1,0,2,16,0
84,JoAnna Ward,The Amazon,31,Guidance Counselor,"Orangeburg, SC",Jaburu,Yellow,0,No Merge,N/A,13,2,0,4,0,2,0,2,16,0
85,Jeanne Hebert,The Amazon,40,Marketing Director,"North Attleboro, MA",Jaburu,Yellow,1,No Merge,N/A,12,3,1,5,0,2,0,3,16,0
86,Shawna Mitchell,The Amazon,23,Retail Saleswoman,"Los Angeles, CA",Jaburu,Yellow,1,No Merge,N/A,11,3,1,6,0,3,0,3,16,0
87,Roger Sexton,The Amazon,56,Construction Company VP,"Valencia, CA",Tambaqui,Blue,1,Jacaré,Red,10,4,3,11,0,3,0,4,16,0
88,Dave Johnson,The Amazon,23,Rocket Scientist,"Pasadena, CA",Tambaqui,Blue,1,Jacaré,Red,9,5,2,8,0,3,0,5,16,0
89,Deena Bennett,The Amazon,35,Deputy District Attorney,"Riverside, CA",Jaburu,Yellow,1,Jacaré,Red,8,6,5,6,0,3,1,6,16,0
90,Alex Bell,The Amazon,32,Triathlon Coach,"Los Angeles, CA",Tambaqui,Blue,1,Jacaré,Red,7,7,5,6,0,3,0,7,16,0
91,Christy Smith,The Amazon,24,Children's Adventure Guide,"Basalt, CO",Jaburu,Yellow,1,Jacaré,Red,6,8,4,9,0,3,0,8,16,0
92,Heidi Strobel,The Amazon,24,Gym Teacher,"Jefferson City, MO",Jaburu,Yellow,1,Jacaré,Red,5,9,8,3,0,3,1,9,16,0
93,Butch Lockley,The Amazon,50,School Principal,"Olney, IL",Tambaqui,Blue,1,Jacaré,Red,4,10,7,5,0,3,0,10,16,0
94,Rob Cesternino,The Amazon,24,Computer Projects Coordinator,"Wantagh, NY",Tambaqui,Blue,1,Jacaré,Red,3,10,10,4,0,3,1,11,16,0
95,Matthew von Ertfelda,The Amazon,33,Restaurant Designer,"Washington, DC",Tambaqui,Blue,1,Jacaré,Red,2,10,9,6,0,3,2,11,16,0
96,Jenna Morasca,The Amazon,21,Swimsuit Model,"Bridgeville, PA",Jaburu,Yellow,1,Jacaré,Red,1,11,10,3,0,3,3,11,16,0
97,Nicole Delma,Pearl Islands,24,Massage Therapist,"Hermosa Beach, CA",Morgan,Orange,0,No Merge,N/A,16,1,0,7,0,0,0,1,16,0
98,Ryan Shoulders,Pearl Islands,23,Produce Clerk,"Clarksville, TN",Morgan,Orange,0,No Merge,N/A,15,2,1,6,0,0,0,2,16,0
99,Michelle Tesauro,Pearl Islands,22,Student,"Washington, DC",Drake,Blue,0,No Merge,N/A,14,2,0,6,0,3,0,2,16,0
100,Trish Dunn,Pearl Islands,42,Sales Executive,"Annapolis, MD",Drake,Blue,0,No Merge,N/A,13,3,2,4,0,3,0,3,16,0
101,Shawn Cohen,Pearl Islands,28,Advertising Salesman,"Los Angeles, CA",Drake,Blue,0,No Merge,N/A,12,4,3,5,0,3,0,4,16,0
102,Osten Taylor,Pearl Islands,27,Equity Trade Manager,"Boston, MA",Morgan,Orange,0,No Merge,N/A,11,3,3,2,0,3,0,4,16,0
103,Andrew Savage,Pearl Islands,39,Attorney,"Chicago, IL",Morgan,Orange,0,Balboa,Black,10,4,3,6,0,3,0,5,16,0
104,Ryan Opray,Pearl Islands,30,Electrician,"Los Gatos, CA",Morgan,Orange,0,Balboa,Black,9,5,3,8,0,3,0,6,16,0
105,Rupert Boneham,Pearl Islands,39,Troubled Teens Mentor,"Indianapolis, IN",Drake,Blue,0,Balboa,Black,8,6,5,7,0,3,2,6,16,0
106,Tijuana Bradley,Pearl Islands,26,Pharmaceutical Saleswoman,"St. Louis, MO",Morgan,Orange,0,Balboa,Black,7,7,5,5,0,3,0,8,16,0
107,Christa Hastie,Pearl Islands,24,Computer Programmer,"Los Angeles, CA",Drake,Blue,0,Balboa,Black,6,9,7,7,0,3,0,9,16,0
